Adj Close,Close,Date,High,Low,Open,Volume
79.247368,83.459999,2016-10-31,84.379997,83.410004,84.190002,4679400
78.088959,82.239998,2016-11-01,83.650002,81.650002,83.470001,5139600
77.015999,81.110001,2016-11-02,82.150002,80.330002,82.150002,5228600
77.167908,81.269997,2016-11-03,81.669998,80.680000,81.639999,3859000
78.155403,82.309998,2016-11-04,82.900002,80.589996,81.339996,5745800
79.522743,83.750000,2016-11-07,84.160004,82.970001,83.739998,3786400
80.405792,84.680000,2016-11-08,85.000000,83.059998,83.769997,3393300
86.596687,91.199997,2016-11-09,93.199997,89.360001,89.779999,19281900
88.733116,93.449997,2016-11-10,94.949997,91.839996,92.040001,14174400
88.315353,93.010002,2016-11-11,94.339996,91.820000,93.389999,7369900
89.416794,94.169998,2016-11-14,95.500000,93.019997,93.250000,7507100
89.673164,94.440002,2016-11-15,94.459999,92.639999,93.459999,4645400
88.638191,93.349998,2016-11-16,94.400002,92.839996,93.769997,3293500
88.096939,92.779999,2016-11-17,93.500000,92.400002,93.500000,3942200
87.679161,92.339996,2016-11-18,93.400002,91.900002,93.010002,4715900
88.210899,92.900002,2016-11-21,93.849998,92.779999,93.129997,3783200
88.894562,93.620003,2016-11-22,93.709999,92.800003,93.400002,3172800
91.325348,96.180000,2016-11-23,96.419998,94.220001,94.809998,6535900
90.974014,95.809998,2016-11-25,96.440002,95.209999,95.959999,2006900
90.109947,94.900002,2016-11-28,95.860001,94.470001,95.510002,4916000
89.293358,94.040001,2016-11-29,94.570000,93.629997,94.000000,3806000
90.736633,95.559998,2016-11-30,95.900002,94.349998,95.750000,4641900
91.382294,96.239998,2016-12-01,97.389999,94.050003,96.000000,9361600
90.337822,95.139999,2016-12-02,96.150002,94.930000,95.360001,5038300
89.682655,94.449997,2016-12-05,95.989998,94.150002,95.870003,4980300
90.413795,95.220001,2016-12-06,95.309998,94.070000,94.099998,3663100
92.417305,97.330002,2016-12-07,97.330002,94.930000,95.250000,4901100
91.410797,96.269997,2016-12-08,97.400002,96.129997,97.260002,3861600
90.708153,95.529999,2016-12-09,96.300003,95.190002,96.230003,6550200
90.280861,95.080002,2016-12-12,96.650002,94.910004,96.010002,3596700
91.173416,96.019997,2016-12-13,96.500000,95.180000,95.739998,3803300
89.008499,93.739998,2016-12-14,96.000000,93.610001,95.769997,5647400
89.758621,94.529999,2016-12-15,94.730003,93.050003,93.800003,4200100
87.907059,92.580002,2016-12-16,94.480003,92.529999,94.349998,7208500
88.030487,92.709999,2016-12-19,92.779999,91.000000,91.930000,3856300
89.578201,94.339996,2016-12-20,94.830002,93.300003,93.639999,4302400
89.084450,93.820000,2016-12-21,94.300003,93.680000,94.260002,2829300
89.369308,94.120003,2016-12-22,94.449997,93.720001,93.779999,2534900
89.559212,94.320000,2016-12-23,94.400002,93.639999,93.790001,1544900
89.777626,94.550003,2016-12-27,94.800003,94.099998,94.339996,1735200
88.448273,93.150002,2016-12-28,94.900002,92.820000,94.599998,2700300
88.581207,93.290001,2016-12-29,93.849998,93.000000,93.279999,2385000
88.058968,92.739998,2016-12-30,93.250000,92.330002,93.040001,3471200
89.245880,93.989998,2017-01-03,95.190002,93.250000,94.000000,5054900
88.847076,93.570000,2017-01-04,94.500000,93.430000,94.459999,3772100
88.305847,93.000000,2017-01-05,94.459999,92.419998,93.180000,4698800
88.343834,93.040001,2017-01-06,93.599998,92.410004,93.449997,4023100
87.707657,92.370003,2017-01-09,93.489998,92.199997,92.930000,3087600
89.093956,93.830002,2017-01-10,94.440002,92.769997,92.980003,3980200
89.872551,94.650002,2017-01-11,94.750000,93.389999,94.470001,3720500
89.245880,93.989998,2017-01-12,94.370003,92.779999,94.370003,3102700
89.711151,94.480003,2017-01-13,94.629997,93.680000,94.070000,2609500
88.847076,93.570000,2017-01-17,94.290001,93.220001,94.239998,5036500
89.354500,93.330002,2017-01-18,93.419998,92.529999,92.790001,3425700
89.402374,93.379997,2017-01-19,93.980003,92.959999,93.580002,3540100
90.551254,94.580002,2017-01-20,95.000000,93.620003,94.010002,5045200
90.436356,94.459999,2017-01-23,94.739998,93.559998,94.599998,3254900
92.140533,96.239998,2017-01-24,96.730003,94.800003,95.019997,5768200
93.969193,98.150002,2017-01-25,98.589996,97.320000,97.820000,7557900
93.078804,97.220001,2017-01-26,98.980003,96.019997,98.449997,9097300
94.773407,98.989998,2017-01-27,99.459999,97.500000,97.690002,6371400
92.667114,96.790001,2017-01-30,98.589996,96.570000,98.400002,5221800
91.585251,95.660004,2017-01-31,96.629997,94.589996,96.589996,5724700
91.058678,95.110001,2017-02-01,96.519997,94.400002,95.809998,3582500
89.775749,93.769997,2017-02-02,95.129997,93.500000,94.769997,3807500
89.306633,93.279999,2017-02-03,94.449997,92.809998,94.320000,4677900
88.914101,92.870003,2017-02-06,93.120003,92.430000,92.809998,4621300
89.335350,93.309998,2017-02-07,94.919998,93.019997,94.320000,4995600
88.952400,92.910004,2017-02-08,93.000000,92.110001,93.000000,4083500
89.957664,93.959999,2017-02-09,94.180000,92.690002,93.059998,3994300
92.207558,96.309998,2017-02-10,96.620003,94.500000,94.870003,5600200
94.304276,98.500000,2017-02-13,99.050003,97.160004,97.690002,6995100
93.911743,98.089996,2017-02-14,98.739998,97.260002,98.290001,4334700
94.802124,99.019997,2017-02-15,99.019997,98.000000,98.110001,4326000
94.074493,98.260002,2017-02-16,99.070000,97.800003,99.050003,3062400
94.639381,98.849998,2017-02-17,98.949997,97.540001,98.070000,3631500
93.921318,98.099998,2017-02-21,99.199997,97.919998,98.870003,3916600
94.017044,98.199997,2017-02-22,98.730003,97.620003,98.040001,3031100
91.479935,95.550003,2017-02-23,98.500000,95.120003,98.440002,6024800
91.412918,95.480003,2017-02-24,95.500000,93.500000,94.860001,5018200
93.289429,97.440002,2017-02-27,97.519997,95.120003,95.480003,5445000
92.542664,96.660004,2017-02-28,97.599998,96.440002,97.239998,3951700
94.380867,98.580002,2017-03-01,98.970001,97.430000,98.199997,5564900
90.340637,94.360001,2017-03-02,98.730003,92.839996,98.489998,23059200
91.068253,95.120003,2017-03-03,95.900002,94.209999,94.360001,8163300
91.585251,95.660004,2017-03-06,95.940002,94.099998,94.320000,4706100
91.843758,95.930000,2017-03-07,96.230003,94.760002,95.650002,4683100
89.258766,93.230003,2017-03-08,95.480003,92.860001,94.099998,9370400
87.497139,91.389999,2017-03-09,93.220001,90.410004,92.449997,9260900
88.377945,92.309998,2017-03-10,93.099998,90.809998,91.889999,7169000
88.693886,92.639999,2017-03-13,93.529999,92.260002,93.330002,4376100
87.947105,91.860001,2017-03-14,92.000000,90.620003,91.220001,5781100
89.383224,93.360001,2017-03-15,93.790001,92.059998,92.370003,6434600
88.894943,92.849998,2017-03-16,94.089996,92.639999,93.970001,3717900
88.952400,92.910004,2017-03-17,93.320000,92.650002,92.989998,7141400
