Adj Close,Close,Date,High,Low,Open,Volume
116.704552,122.010002,2016-10-31,123.500000,121.620003,123.349998,5671500
114.676743,119.889999,2016-11-01,122.250000,119.199997,121.690002,7492600
115.059357,120.290001,2016-11-02,121.290001,119.820000,119.930000,4846000
114.954132,120.180000,2016-11-03,120.930000,120.080002,120.339996,5113500
115.652397,120.910004,2016-11-04,121.900002,120.059998,120.540001,4607600
118.368904,123.750000,2016-11-07,123.980003,122.309998,122.500000,5510400
118.847145,124.250000,2016-11-08,125.419998,123.599998,123.949997,6094500
120.540176,126.019997,2016-11-09,126.260002,120.320000,120.949997,8052500
123.419296,129.029999,2016-11-10,130.100006,126.510002,126.720001,8737000
124.203644,129.850006,2016-11-11,130.130005,128.720001,129.059998,5496100
122.118439,127.669998,2016-11-14,130.639999,126.940002,130.500000,11405400
118.990639,124.400002,2016-11-15,127.669998,122.919998,127.070000,13445400
119.880203,125.330002,2016-11-16,125.699997,123.279999,123.599998,9767500
123.323639,128.929993,2016-11-17,129.139999,125.699997,125.870003,6801200
122.749733,128.330002,2016-11-18,129.360001,127.720001,128.929993,4428900
122.644524,128.220001,2016-11-21,128.899994,127.410004,128.279999,4072100
125.284523,130.979996,2016-11-22,131.300003,128.380005,128.380005,5535800
125.504494,131.210007,2016-11-23,131.990005,130.860001,131.360001,3582700
125.848862,131.570007,2016-11-25,132.139999,131.070007,131.860001,2545800
124.959297,130.639999,2016-11-28,131.649994,130.169998,131.250000,4859000
124.641968,129.619995,2016-11-29,130.779999,129.250000,130.350006,4127100
124.430420,129.399994,2016-11-30,130.320007,128.809998,129.339996,6973800
124.497734,129.470001,2016-12-01,130.350006,129.000000,129.339996,5398700
124.882362,129.869995,2016-12-02,130.619995,128.910004,129.039993,3738300
124.699669,129.679993,2016-12-05,130.460007,129.559998,130.320007,4065400
123.795761,128.740005,2016-12-06,130.139999,128.679993,130.130005,4292600
127.372925,132.460007,2016-12-07,133.059998,128.750000,128.750000,6987300
127.440231,132.529999,2016-12-08,133.130005,131.580002,132.210007,4975400
128.267166,133.389999,2016-12-09,133.399994,131.100006,132.509995,5174600
129.411484,134.580002,2016-12-12,134.660004,133.130005,133.130005,6276500
131.296188,136.539993,2016-12-13,136.889999,134.550003,134.550003,6886300
130.757706,135.979996,2016-12-14,136.880005,135.750000,136.050003,7036300
130.623062,135.839996,2016-12-15,137.320007,135.770004,136.509995,5839800
129.921127,135.110001,2016-12-16,136.610001,135.050003,136.110001,9243700
130.238464,135.440002,2016-12-19,136.500000,134.789993,135.059998,3463600
131.844299,137.110001,2016-12-20,137.240005,135.429993,135.649994,4301500
131.575073,136.830002,2016-12-21,137.240005,136.559998,136.929993,2704700
130.228836,135.429993,2016-12-22,137.000000,135.179993,136.250000,4094800
129.863419,135.050003,2016-12-23,135.990005,134.789993,135.649994,2337300
130.065369,135.259995,2016-12-27,135.720001,134.710007,134.759995,2254900
129.882690,135.070007,2016-12-28,135.860001,134.660004,135.570007,3369400
129.911484,135.100006,2016-12-29,135.850006,134.630005,135.020004,2761700
128.930695,134.080002,2016-12-30,135.820007,133.830002,135.639999,4149100
129.151840,134.309998,2017-01-03,135.509995,133.589996,135.100006,5299700
130.296143,135.500000,2017-01-04,135.940002,134.210007,134.339996,4055300
128.757599,133.899994,2017-01-05,135.460007,133.779999,134.979996,3821100
128.401794,133.529999,2017-01-06,134.330002,133.050003,133.970001,3827500
129.151840,134.309998,2017-01-09,134.759995,133.139999,133.220001,4307400
130.873108,136.100006,2017-01-10,136.380005,133.770004,134.000000,5928300
130.488434,135.699997,2017-01-11,136.389999,134.740005,136.100006,4643700
129.882690,135.070007,2017-01-12,135.529999,133.940002,135.509995,3600000
129.853806,135.039993,2017-01-13,135.750000,134.759995,134.919998,3117600
130.709625,135.929993,2017-01-17,136.479996,134.759995,135.089996,3974700
130.930817,136.160004,2017-01-18,136.289993,134.919998,135.899994,3869700
130.190369,135.389999,2017-01-19,136.779999,134.929993,136.000000,5078700
130.392334,135.600006,2017-01-20,136.000000,134.600006,135.259995,4853900
132.767441,138.070007,2017-01-23,138.270004,135.000000,135.309998,7056200
132.757813,138.059998,2017-01-24,138.380005,137.300003,137.880005,4055100
132.200104,137.479996,2017-01-25,139.369995,137.429993,138.449997,3631700
133.142487,138.460007,2017-01-26,139.179993,137.710007,138.009995,2931200
133.017471,138.330002,2017-01-27,138.830002,137.699997,138.800003,3149500
133.152100,138.470001,2017-01-30,138.490005,136.860001,137.990005,2705000
132.296265,137.580002,2017-01-31,138.619995,136.850006,137.630005,3227000
132.161652,137.440002,2017-02-01,137.960007,136.529999,137.660004,2968800
131.690460,136.949997,2017-02-02,137.550003,136.559998,137.470001,2197600
132.680893,137.979996,2017-02-03,138.470001,136.970001,137.259995,2654700
131.248138,136.490005,2017-02-06,137.899994,136.449997,137.429993,3864100
131.401947,136.649994,2017-02-07,137.699997,136.330002,137.160004,3242000
132.584732,137.880005,2017-02-08,137.910004,136.820007,136.889999,2882700
133.382889,138.710007,2017-02-09,139.149994,137.410004,137.880005,2931900
134.479065,139.850006,2017-02-10,140.570007,138.250000,138.600006,3297000
134.498322,139.869995,2017-02-13,140.649994,139.050003,140.479996,2753000
135.931076,141.360001,2017-02-14,141.369995,139.339996,139.949997,4761100
136.729233,142.190002,2017-02-15,142.660004,140.949997,141.270004,4343500
136.104156,141.539993,2017-02-16,142.990005,140.899994,142.389999,4295800
137.508133,143.000000,2017-02-17,143.119995,141.000000,141.360001,5108400
139.450546,145.020004,2017-02-21,145.649994,143.250000,145.600006,9275900
139.671677,145.250000,2017-02-22,145.470001,143.970001,145.050003,5037800
139.152451,144.710007,2017-02-23,146.330002,144.509995,146.110001,4184000
140.344818,145.949997,2017-02-24,146.080002,144.649994,144.649994,3516900
139.719788,145.300003,2017-02-27,146.009995,144.800003,145.869995,4388400
139.344757,144.910004,2017-02-28,145.630005,144.470001,144.979996,4211900
141.046783,146.679993,2017-03-01,147.699997,145.889999,146.720001,6213500
142.268005,147.949997,2017-03-02,148.229996,146.389999,147.080002,4053400
142.133408,147.809998,2017-03-03,148.259995,146.820007,147.949997,3412300
141.479507,147.130005,2017-03-06,147.509995,146.580002,147.130005,3998000
141.266678,146.020004,2017-03-07,146.949997,145.830002,146.330002,3996300
142.137375,146.919998,2017-03-08,147.119995,145.919998,146.220001,3614500
141.847107,146.619995,2017-03-09,147.160004,146.529999,147.080002,3594000
142.069656,146.850006,2017-03-10,147.460007,146.449997,147.240005,3123200
142.630753,147.429993,2017-03-13,147.669998,146.500000,147.330002,2933300
142.369553,147.160004,2017-03-14,147.589996,146.460007,147.270004,3272500
143.133835,147.949997,2017-03-15,148.380005,146.759995,147.350006,3670500
143.888428,148.729996,2017-03-16,149.190002,148.009995,148.399994,3544500
144.730133,149.600006,2017-03-17,149.990005,148.130005,149.399994,9002000
