Adj Close,Close,Date,High,Low,Open,Volume
65.819183,69.260002,2016-10-31,69.580002,69.230003,69.430000,14336300
65.543579,68.970001,2016-11-01,69.779999,68.330002,69.480003,15564500
65.267990,68.680000,2016-11-02,68.849998,68.010002,68.650002,12449800
64.982895,68.379997,2016-11-03,69.190002,68.220001,68.860001,10369700
64.393707,67.760002,2016-11-04,68.559998,67.639999,68.489998,13571300
66.408379,69.879997,2016-11-07,69.970001,69.000000,69.080002,16515100
66.550926,70.029999,2016-11-08,70.550003,69.239998,69.699997,17475400
69.610947,73.250000,2016-11-09,74.150002,71.320000,71.459999,50948400
72.842049,76.650002,2016-11-10,77.250000,74.220001,74.220001,56192300
72.880051,76.690002,2016-11-11,76.720001,75.769997,76.300003,27574300
75.559967,79.510002,2016-11-14,80.440002,77.250000,77.250000,45600000
75.417412,79.360001,2016-11-15,79.410004,77.779999,78.370003,28126300
73.554779,77.400002,2016-11-16,78.349998,76.879997,78.220001,25714900
74.143974,78.019997,2016-11-17,78.459999,77.599998,77.930000,19306700
73.849388,77.709999,2016-11-18,78.419998,77.550003,77.959999,19770000
74.172478,78.050003,2016-11-21,78.169998,77.290001,78.000000,11983500
74.628624,78.529999,2016-11-22,78.559998,77.760002,78.349998,14410100
74.942253,78.860001,2016-11-23,79.239998,77.889999,78.870003,13373700
74.913742,78.830002,2016-11-25,79.449997,78.470001,79.099998,6185700
74.429077,78.320000,2016-11-28,78.870003,78.019997,78.180000,13007200
74.999268,78.919998,2016-11-29,79.160004,78.389999,78.389999,14144100
76.187157,80.169998,2016-11-30,80.529999,79.699997,79.919998,25351900
77.726692,81.790001,2016-12-01,82.279999,80.650002,80.650002,23823600
77.546127,81.599998,2016-12-02,81.830002,80.900002,81.800003,16931500
79.123665,83.260002,2016-12-05,83.290001,82.290001,82.300003,18529800
79.532303,83.690002,2016-12-06,83.809998,82.430000,83.599998,16130000
79.893425,84.070000,2016-12-07,84.089996,82.849998,83.550003,18996900
80.891258,85.120003,2016-12-08,85.500000,83.940002,84.230003,20844900
81.242867,85.489998,2016-12-09,85.500000,84.139999,85.019997,14567200
80.520615,84.730003,2016-12-12,85.790001,84.290001,85.360001,14511300
80.549141,84.760002,2016-12-13,85.669998,83.820000,84.980003,16669000
80.520615,84.730003,2016-12-14,86.120003,83.760002,83.879997,22622600
81.727531,86.000000,2016-12-15,86.489998,84.900002,85.400002,19438900
80.720207,84.940002,2016-12-16,86.290001,84.889999,86.290001,22710300
81.185852,85.430000,2016-12-19,85.440002,84.190002,84.800003,21685100
82.231209,86.529999,2016-12-20,86.540001,85.550003,85.790001,14587300
82.440277,86.750000,2016-12-21,86.809998,86.029999,86.430000,11400500
82.573334,86.889999,2016-12-22,87.169998,86.209999,86.440002,13924200
82.725380,87.050003,2016-12-23,87.150002,86.400002,87.000000,10725000
82.801407,87.129997,2016-12-27,87.160004,86.750000,87.050003,6946400
82.202698,86.500000,2016-12-28,87.389999,86.349998,87.160004,9455600
81.622993,85.889999,2016-12-29,86.669998,85.040001,86.580002,14606100
82.003120,86.290001,2016-12-30,86.419998,85.660004,86.099998,13617800
82.896439,87.230003,2017-01-03,87.760002,85.980003,87.339996,20550700
83.049332,86.910004,2017-01-04,87.180000,86.400002,86.959999,15266600
82.284859,86.110001,2017-01-05,87.110001,85.260002,86.809998,14300800
82.294426,86.120003,2017-01-06,86.620003,85.940002,86.389999,12893300
82.351746,86.180000,2017-01-09,86.769997,85.519997,85.730003,12735600
82.590645,86.430000,2017-01-10,86.900002,85.720001,86.070000,13989000
83.211769,87.080002,2017-01-11,87.080002,85.910004,86.430000,14713100
82.409088,86.239998,2017-01-12,87.269997,86.019997,86.760002,21337400
82.848648,86.699997,2017-01-13,88.169998,86.099998,87.110001,28296000
79.838577,83.550003,2017-01-17,85.220001,83.279999,84.930000,29969400
80.211266,83.940002,2017-01-18,84.230003,83.029999,83.629997,21270100
79.599686,83.300003,2017-01-19,84.669998,83.120003,84.059998,16555600
79.953247,83.669998,2017-01-20,83.830002,83.290001,83.430000,18436800
79.991470,83.709999,2017-01-23,84.000000,83.209999,83.300003,12179200
80.956612,84.720001,2017-01-24,85.000000,83.559998,83.919998,15175300
82.208412,86.029999,2017-01-25,86.169998,85.169998,85.839996,17551000
82.896439,86.750000,2017-01-26,86.949997,85.949997,85.949997,15962800
83.068436,86.930000,2017-01-27,86.980003,86.269997,86.660004,12535400
82.208412,86.029999,2017-01-30,86.500000,85.320000,86.190002,13661900
