Company,Symbol,Industry
3M,MMM,Conglomerate
American Express,AXP,Consumer finance
Apple,AAPL,Consumer electronics
Boeing,BA,Aerospace and defense
Caterpillar,CAT,Construction and mining equipment
Chevron,CVX,Oil & gas
Cisco Systems,CSCO,Computer networking
Coca-Cola,KO,Beverages
DowDuPont,DWDP,Chemical industry
ExxonMobil,XOM,Oil & gas
Walgreens Boots Alliance Inc.,WBA,Health Care
Goldman Sachs,GS,Banking
The Home Depot,HD,Home improvement retailer
IBM,IBM,Computers and technology
Intel,INTC,Semiconductors
Johnson & Johnson,JNJ,Pharmaceuticals
JPMorgan Chase,JPM,Banking
McDonald's,MCD,Fast food
Merck,MRK,Pharmaceuticals
Microsoft,MSFT,Software
Nike,NKE,Apparel
Pfizer,PFE,Pharmaceuticals
Procter & Gamble,PG,Consumer goods
Travelers,TRV,Insurance
UnitedHealth Group,UNH,Managed health care
United Technologies,UTX,Conglomerate
Verizon,VZ,Telecommunication
Visa,V,Consumer banking
Walmart,WMT,Retail
Walt Disney,DIS,Broadcasting and entertainment
Google,GOOG,Software Industry
Facebook,FB,Communication Industry
